India / State/ Union Territory,Population 2011,Decadal Population Growth Rate - 2001-2011,Population Density (per sq.km) - 2011
Andhra Pradesh,49386799,9,308
Arunachal Pradesh,1383727,26,17
Assam,31205576,17.1,398
Bihar,104099452,25.4,1106
Chhattisgarh,25545198,22.6,189
Goa,1458545,8.2,394
Gujarat,60439692,19.3,308
Haryana,25351462,19.9,573
Himachal Pradesh,6864602,12.9,123
Jammu & Kashmir,12541302,23.6,56
Jharkhand,32988134,22.4,414
Karnataka,61095297,15.6,319
Kerala,33406061,4.9,860
Madhya Pradesh,72626809,20.3,236
Maharashtra,112374333,16,365
Manipur,2855794,31.8,128
Meghalaya,2966889,27.9,132
Mizoram,1097206,23.5,52
Nagaland,1978502,-0.6,119
Odisha,41974218,14,270
Punjab,27743338,13.9,551
Rajasthan,68548437,21.3,200
Sikkim,610577,12.9,86
Tamil Nadu,72147030,15.6,555
Telangana,35193978,13.6,306
Tripura,3673917,14.8,350
Uttarakhand,10086292,18.8,189
Uttar Pradesh,199812341,20.2,829
West Bengal,91276115,13.8,1028
A & N Island,380581,6.9,46
Chandigarh,1055450,17.2,9258
Dadra & Nagar Haveli,343709,55.9,700
Daman & Diu,243247,53.8,2191
Delhi,16787941,21.2,11320
Lakshadweep,64473,6.3,2149
Puducherry,1247953,28.1,2547
